"Third Audience Bot Analytics Export"
Generated,"2026-01-22 09:57:53 UTC"
"Total Records",124
Format,Detailed

ID,"Bot Type","Bot Name","User Agent",URL,"Post Title","Post Type","Request Method","Cache Status","Cache Explanation","Response Time (ms)","Response Size","IP Address",Referer,"Country Code","Visit Time (UTC)"
88,Unknown_Bot,Meta-externalagent,"meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler)",https://www.monocubed.com/blog/knowledge-management-software,"Best Knowledge Management Software Compared",post,md_url,MISS,"Generated fresh (first visit or cache expired)",52,"24.61 KB",2a03:2880:f802:b::,Direct,US,"2026-01-22 07:07:51"
87,Unknown_Bot,Meta-externalagent,"meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler)",https://www.monocubed.com/blog/ruby-on-rails-vs-django,"Ruby on Rails vs Django Comparison: Choosing Best Web Framework",post,md_url,MISS,"Generated fresh (first visit or cache expired)",37,"18.56 KB",2a03:2880:f802:4::,Direct,US,"2026-01-22 07:05:56"
86,Unknown_Bot,Meta-externalagent,"meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler)",https://www.monocubed.com/blog/django-website-examples,"Top 12 Django Website Examples to Inspire Your Web Project in [year]",post,md_url,MISS,"Generated fresh (first visit or cache expired)",40,"19.75 KB",2a03:2880:f802:13::,Direct,US,"2026-01-22 06:59:28"
85,Unknown_Bot,Meta-externalagent,"meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler)",https://www.monocubed.com/blog/best-nodejs-frameworks,"List of 10 Best Nodejs Frameworks For Web App Development",post,md_url,MISS,"Generated fresh (first visit or cache expired)",54,"36.50 KB",2a03:2880:f802:11::,Direct,US,"2026-01-22 06:58:07"
84,Unknown_Bot,Meta-externalagent,"meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler)",https://www.monocubed.com/blog/advantages-of-python,"8 Major Advantages Of Python For Web Application Development",post,md_url,MISS,"Generated fresh (first visit or cache expired)",34,"18.33 KB",2a03:2880:f802:32::,Direct,US,"2026-01-22 06:54:52"
83,Unknown_Bot,Meta-externalagent,"meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler)",https://www.monocubed.com/blog/codeigniter-vs-laravel,"CodeIgniter vs Laravel: Choose The Best Web Development Framework",post,md_url,MISS,"Generated fresh (first visit or cache expired)",40,"20.08 KB",2a03:2880:f802:6::,Direct,US,"2026-01-22 06:51:39"
82,Unknown_Bot,Meta-externalagent,"meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler)",https://www.monocubed.com/blog/ruby-on-rails-alternatives,"Top 6 Ruby On Rails Alternatives For Your Next Web App",post,md_url,MISS,"Generated fresh (first visit or cache expired)",38,"16.51 KB",2a03:2880:f802:a::,Direct,US,"2026-01-22 06:47:52"
81,Unknown_Bot,Meta-externalagent,"meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler)",https://www.monocubed.com/blog/difference-between-angular-and-angularjs,"What is The Major Difference Between Angular and AngularJS?",post,md_url,MISS,"Generated fresh (first visit or cache expired)",33,"15.25 KB",2a03:2880:f802:1a::,Direct,US,"2026-01-22 06:35:29"
80,Unknown_Bot,Meta-externalagent,"meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler)",https://www.monocubed.com/blog/benefits-of-outsourcing-web-development,"Top 7 Benefits of Outsourcing Web Development",post,md_url,MISS,"Generated fresh (first visit or cache expired)",31,"24.34 KB",2a03:2880:f802:27::,Direct,US,"2026-01-22 06:32:41"
79,Unknown_Bot,Meta-externalagent,"meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler)",https://www.monocubed.com/blog/python-vs-php,"Python VS PHP - Choosing The Best Language For Web Development",post,md_url,MISS,"Generated fresh (first visit or cache expired)",58,"21.54 KB",2a03:2880:f802:5::,Direct,US,"2026-01-22 06:31:39"
